Name,Latitude,LatDir,Longitude,LonDir,Code,LatDecimal,LonDecimal,LatDecimal_corrigido,LonDecimal_corrigido
Abrantes,3927,N,811,W,ABRAN,39.45,-8.183333,39.45,-8.183333
Academia Militar Lisboa,3843,N,908,W,ACMIL,38.716667,-9.133333,38.716667,-9.133333
Agucadoura,4125,N,846,W,AGUSA,41.416667,-8.766667,41.416667,-8.766667
Aguda,4102,N,839,W,AGUDA,41.033333,-8.65,41.033333,-8.65
Agueda,4034,N,826,W,AGUED,40.566667,-8.433333,40.566667,-8.433333
Aguieira,4020,N,811,W,AGUIE,40.333333,-8.183333,40.333333,-8.183333
Alandroal,3842,N,724,W,ALOAL,38.7,-7.4,38.7,-7.4
Albergaria-A-Velha,4041,N,828,W,ALVEL,40.683333,-8.466667,40.683333,-8.466667
Albernoa,3751,N,757,W,ALBER,37.85,-7.95,37.85,-7.95
Albufeira,3705,N,814,W,ALBUF,37.083333,-8.233333,37.083333,-8.233333
Albufeira Do Azibo,4135,N,654,W,ALAZI,41.583333,-6.9,41.583333,-6.9
Alcacer Do Sal,3822,N,830,W,ADSAL,38.366667,-8.5,38.366667,-8.5
Alcacovas,3823,N,809,W,ALVAS,38.383333,-8.15,38.383333,-8.15
Alcains,3954,N,727,W,ALCAI,39.9,-7.45,39.9,-7.45
Alcanena,3927,N,840,W,ALCAN,39.45,-8.666667,39.45,-8.666667
Alcaria (Fundao),4011,N,731,W,ALCAR,40.183333,-7.516667,40.183333,-7.516667
Alcobaca,3932,N,858,W,ALCOB,39.533333,-8.966667,39.533333,-8.966667
Alcochete,3845,N,857,W,ALCHE,38.75,-8.95,38.75,-8.95
Alcoentre,3912,N,857,W,ALCOE,39.2,-8.95,39.2,-8.95
Alcoutim,3728,N,728,W,ALCOU,37.466667,-7.466667,37.466667,-7.466667
Aldeia Da Ponte,4024,N,652,W,APONT,40.4,-6.866667,40.4,-6.866667
Aldeia Do Bispo,4019,N,650,W,ABISP,40.316667,-6.833333,40.316667,-6.833333
Aldeia Nova S. Bento (Serpa),3755,N,724,W,ANSBT,37.916667,-7.4,37.916667,-7.4
Alenquer,3902,N,859,W,ALENQ,39.033333,-8.983333,39.033333,-8.983333
Alfandega Da Fé,4120,N,657,W,ALFFE,41.333333,-6.95,41.333333,-6.95
Alfena,4114,N,829,W,ALFEN,41.233333,-8.483333,41.233333,-8.483333
Alfragide,3844,N,913,W,ALFRG,38.733333,-9.216667,38.733333,-9.216667
Alges,3842,N,913,W,ALGES,38.7,-9.216667,38.7,-9.216667
Algoso,4128,N,634,W,ALGSO,41.466667,-6.566667,41.466667,-6.566667
Alhandra,3855,N,900,W,ALHAN,38.916667,-9.0,38.916667,-9.0
Alhos Vedros,3838,N,900,W,AVEDR,38.633333,-9.0,38.633333,-9.0
Alijo Ad,4119,N,727,W,ALIJO,41.316667,-7.45,41.316667,-7.45
Aljezur,3719,N,848,W,ALZUR,37.316667,-8.8,37.316667,-8.8
Aljustrel,3752,N,809,W,ALJUS,37.866667,-8.15,37.866667,-8.15
Almada,3840,N,909,W,ALMAD,38.666667,-9.15,38.666667,-9.15
Almancil,3705,N,801,W,ALCIL,37.083333,-8.016667,37.083333,-8.016667
Almeirim,3912,N,837,W,ALMEI,39.2,-8.616667,39.2,-8.616667
Almendra,4059,N,703,W,ALMEN,40.983333,-7.05,40.983333,-7.05
Almodovar,3730,N,803,W,ALMOD,37.5,-8.05,37.5,-8.05
Almourol (Castelo),3927,N,823,W,ALMOU,39.45,-8.383333,39.45,-8.383333
Alpalhao (Nisa),3924,N,737,W,ALPAL,39.4,-7.616667,39.4,-7.616667
Alpiarca,3915,N,834,W,ALPIA,39.25,-8.566667,39.25,-8.566667
Alter Do Chao,3912,N,739,W,ALTER,39.2,-7.65,39.2,-7.65
Alto Mira (Central Eletrica),3846,N,914,W,ALMIR,38.766667,-9.233333,38.766667,-9.233333
Altura,3710,N,730,W,ALTUR,37.166667,-7.5,37.166667,-7.5
Alvalade,3756,N,823,W,ALADE,37.933333,-8.383333,37.933333,-8.383333
Alvarenga,4058,N,809,W,ALVAR,40.966667,-8.15,40.966667,-8.15
Alverca,3852,N,901,W,ALVER,38.866667,-9.016667,38.866667,-9.016667
Alvito,3815,N,759,W,ALVIT,38.25,-7.983333,38.25,-7.983333
Alvor,3707,N,835,W,ALVOR,37.116667,-8.583333,37.116667,-8.583333
Amadora,3845,N,913,W,AMDRA,38.75,-9.216667,38.75,-9.216667
Amarante,4116,N,804,W,AMARA,41.266667,-8.066667,41.266667,-8.066667
Amares,4137,N,820,W,AMARE,41.616667,-8.333333,41.616667,-8.333333
Ameixial,3721,N,757,W,AMEIX,37.35,-7.95,37.35,-7.95
Amendoeira Da Serra,3742,N,741,W,AMEND,37.7,-7.683333,37.7,-7.683333
Amiaes De Baixo,3926,N,843,W,AMBXO,39.433333,-8.716667,39.433333,-8.716667
Anadia,4026,N,826,W,ANDIA,40.433333,-8.433333,40.433333,-8.433333
Anca,4016,N,831,W,ANCA,40.266667,-8.516667,40.266667,-8.516667
Ansiao,3954,N,826,W,ANSIA,39.9,-8.433333,39.9,-8.433333
Aparica (Monte De) – Beja,3805,N,752,W,APICA,38.083333,-7.866667,38.083333,-7.866667
Apulia,4129,N,846,W,APULI,41.483333,-8.766667,41.483333,-8.766667
Arazede,4016,N,839,W,ARAZE,40.266667,-8.65,40.266667,-8.65
Arcos De Valdevez,4150,N,825,W,ARCOS,41.833333,-8.416667,41.833333,-8.416667
Arcozelo,4103,N,838,W,ARCZL,41.05,-8.633333,41.05,-8.633333
Arganil,4013,N,803,W,ARGAN,40.216667,-8.05,40.216667,-8.05
Armacao De Pera,3706,N,821,W,APERA,37.1,-8.35,37.1,-8.35
Armamar,4106,N,741,W,ARMAR,41.1,-7.683333,41.1,-7.683333
Armona,3701,N,746,W,ARMON,37.016667,-7.766667,37.016667,-7.766667
Arouca,4055,N,814,W,AROCA,40.916667,-8.233333,40.916667,-8.233333
Arraiolos,3843,N,759,W,ARRAI,38.716667,-7.983333,38.716667,-7.983333
Arranho,3857,N,908,W,ARRHO,38.95,-9.133333,38.95,-9.133333
Arripiado,3927,N,823,W,ARRIP,39.45,-8.383333,39.45,-8.383333
Arronches,3907,N,717,W,ARRON,39.116667,-7.283333,39.116667,-7.283333
Arruda Dos Vinhos,3859,N,904,W,AVINH,38.983333,-9.066667,38.983333,-9.066667
AT 1,3846,N,907,W,ATI,38.766667,-9.116667,38.766667,-9.116667
Aveiras De Cima,3908,N,854,W,ACIMA,39.133333,-8.9,39.133333,-8.9
Aveiro,4038,N,839,W,AVEIR,40.633333,-8.65,40.633333,-8.65
Avidagos,4124,N,718,W,AVGOS,41.4,-7.3,41.4,-7.3
Avintes,4105,N,833,W,AVINT,41.083333,-8.55,41.083333,-8.55
Avis,3903,N,753,W,AVIS,39.05,-7.883333,39.05,-7.883333
Azinhal,3717,N,727,W,AZINH,37.283333,-7.45,37.283333,-7.45
Bacelo (Evora),3836,N,749,W,BACEL,38.6,-7.816667,38.6,-7.816667
Baiao,4109,N,802,W,BAIAO,41.15,-8.033333,41.15,-8.033333
Baleizao,3801,N,743,W,BLZAO,38.016667,-7.716667,38.016667,-7.716667
Baltar,4111,N,823,W,BALTR,41.183333,-8.383333,41.183333,-8.383333
Balugaes,4138,N,838,W,BALUG,41.633333,-8.633333,41.633333,-8.633333
Barca D’ Alva,4101,N,656,W,BALVA,41.016667,-6.933333,41.016667,-6.933333
Barcelos,4131,N,836,W,BELOS,41.516667,-8.6,41.516667,-8.6
Barragem Da Bemposta,4118,N,628,W,BEMPO,41.3,-6.466667,41.3,-6.466667
Barragem Da Bravura,3712,N,841,W,BVURA,37.2,-8.683333,37.2,-8.683333
Barragem Da Canicada,4139,N,813,W,CCADA,41.65,-8.216667,41.65,-8.216667
Barragem Da Povoa/Nisa,3928,N,733,W,POVOA,39.466667,-7.55,39.466667,-7.55
Barragem Da Venda Nova – Setubal,3831,N,833,W,BVNOV,38.516667,-8.55,38.516667,-8.55
Barragem De Belver,3928,N,759,W,BLVER,39.466667,-7.983333,39.466667,-7.983333
Barragem De Bouca,3951,N,813,W,BOUCA,39.85,-8.216667,39.85,-8.216667
Barragem De Castelo De Bode,3932,N,819,W,CBOD,39.533333,-8.316667,39.533333,-8.316667
Barragem De Cedilhe (Vila Velha De Rodao),3939,N,732,W,CEDIL,39.65,-7.533333,39.65,-7.533333
Barragem De Crestuma Tunel Vfr Prt,4104,N,829,W,CREST,41.066667,-8.483333,41.066667,-8.483333
Barragem De Fratel,3933,N,748,W,FRATE,39.55,-7.8,39.55,-7.8
Barragem De Freita,4135,N,808,W,FREIT,41.583333,-8.133333,41.583333,-8.133333
Barragem De Idanha,3956,N,712,W,IDANB,39.933333,-7.2,39.933333,-7.2
Barragem De Montargil,3903,N,810,W,MTGIL,39.05,-8.166667,39.05,-8.166667
Barragem De Montejunto – Cercal,3914,N,900,W,CRCAL,39.233333,-9.0,39.233333,-9.0
Barragem De Odiaxere,3713,N,841,W,BODIA,37.216667,-8.683333,37.216667,-8.683333
Barragem De Odivelas,3811,N,806,W,BODIV,38.183333,-8.1,38.183333,-8.1
Barragem De Pego Do Altar,3825,N,823,W,PEGAL,38.416667,-8.383333,38.416667,-8.383333
Barragem De Pracana,3933,N,748,W,PCANA,39.55,-7.8,39.55,-7.8
Barragem De Rilvas,3841,N,850,W,RILVA,38.683333,-8.833333,38.683333,-8.833333
Barragem De Santa Clara,3730,N,826,W,SCVEL,37.5,-8.433333,37.5,-8.433333
Barragem De Santa Luzia,4005,N,751,W,SUZIA,40.083333,-7.85,40.083333,-7.85
Barragem De Santa Suzana,3825,N,823,W,STSUZ,38.416667,-8.383333,38.416667,-8.383333
Barragem De Vale De Gaio,3814,N,817,W,VGAIO,38.233333,-8.283333,38.233333,-8.283333
Barragem De Vilar,4059,N,732,W,BVILR,40.983333,-7.533333,40.983333,-7.533333
Barragem De Vilarinho Das Furnas,4145,N,812,W,VFUNA,41.75,-8.2,41.75,-8.2
Barragem Do Alqueva,3811,N,729,W,BALQV,38.183333,-7.483333,38.183333,-7.483333
Barragem Do Azibo,4133,N,653,W,BZIBO,41.55,-6.883333,41.55,-6.883333
Barragem Do Cabril,3955,N,807,W,CBRIL,39.916667,-8.116667,39.916667,-8.116667
Barragem Do Caia,3900,N,708,W,CAIA,39.0,-7.133333,39.0,-7.133333
Barragem Do Carrapatelo,4105,N,807,W,CARRA,41.083333,-8.116667,41.083333,-8.116667
Barragem Do Ciborro,3847,N,812,W,CIBOR,38.783333,-8.2,38.783333,-8.2
Barragem Do Covao Do Curral,4022,N,738,W,COVAO,40.366667,-7.633333,40.366667,-7.633333
Barragem Do Crato,3915,N,739,W,CRATB,39.25,-7.65,39.25,-7.65
Barragem Do Divor,3842,N,755,W,DIVOR,38.7,-7.916667,38.7,-7.916667
Barragem Do Lindoso,4152,N,812,W,BLINS,41.866667,-8.2,41.866667,-8.2
Barragem Do Maranhao,3900,N,758,W,MNHAO,39.0,-7.966667,39.0,-7.966667
Barragem Do Pisco,4001,N,733,W,PISCO,40.016667,-7.55,40.016667,-7.55
Barragem Do Pocinho,4108,N,706,W,POCIN,41.133333,-7.1,41.133333,-7.1
Barragem Do Roxo,3755,N,804,W,ROXO,37.916667,-8.066667,37.916667,-8.066667
Barragem Monte Da Rocha,3743,N,817,W,BROCH,37.716667,-8.283333,37.716667,-8.283333
Barranco Do Velho,3714,N,756,W,BVEL,37.233333,-7.933333,37.233333,-7.933333
Barreiro,3839,N,904,W,BARRE,38.65,-9.066667,38.65,-9.066667
Batalha,3939,N,849,W,BATLH,39.65,-8.816667,39.65,-8.816667
Beja (Povoacao),3800,N,751,W,BEJA,38.0,-7.85,38.0,-7.85
Belas,3846,N,916,W,BELAS,38.766667,-9.266667,38.766667,-9.266667
Belmonte,4021,N,720,W,BELMO,40.35,-7.333333,40.35,-7.333333
Benavente,3858,N,848,W,BVENT,38.966667,-8.8,38.966667,-8.8
Benavila,3906,N,752,W,BVILA,39.1,-7.866667,39.1,-7.866667
Bensafrim,3709,N,844,W,BENSA,37.15,-8.733333,37.15,-8.733333
Beringel,3803,N,759,W,BRGEL,38.05,-7.983333,38.05,-7.983333
Berlengas,3924,N,930,W,BERLN,39.4,-9.5,39.4,-9.5
Boliqueime,3707,N,809,W,BEIME,37.116667,-8.15,37.116667,-8.15
Bombarral,3916,N,909,W,BOMBA,39.266667,-9.15,39.266667,-9.15
Borba,3848,N,727,W,BORB,38.8,-7.45,38.8,-7.45
Bordeira,3711,N,851,W,BORDE,37.183333,-8.85,37.183333,-8.85
Boticas,4141,N,740,W,BOTIC,41.683333,-7.666667,41.683333,-7.666667
Braga (Localidade),4132,N,825,W,BRAGA,41.533333,-8.416667,41.533333,-8.416667
Braganca,4148,N,645,W,BRGAN,41.8,-6.75,41.8,-6.75
Brejos,3706,N,813,W,BREJO,37.1,-8.216667,37.1,-8.216667
Brejos Da Carregueira,3819,N,845,W,BRCAR,38.316667,-8.75,38.316667,-8.75
Brinches,3802,N,736,W,BCHES,38.033333,-7.6,38.033333,-7.6
Bugio (Farol),3839,N,917,W,BUGIO,38.65,-9.283333,38.65,-9.283333
Burgau,3704,N,846,W,BURGA,37.066667,-8.766667,37.066667,-8.766667
Cabecao,3857,N,804,W,CBAO,38.95,-8.066667,38.95,-8.066667
Cabeceiras De Basto,4130,N,759,W,CABEC,41.5,-7.983333,41.5,-7.983333
Cabeco De Vide,3907,N,735,W,CAVID,39.116667,-7.583333,39.116667,-7.583333
Cabo Carvoeiro,3921,N,924,W,CCARV,39.35,-9.4,39.35,-9.4
Cabo Da Roca,3846,N,929,W,CROCA,38.766667,-9.483333,38.766667,-9.483333
Cabo Mondego,4010,N,854,W,CDEGO,40.166667,-8.9,40.166667,-8.9
Cabo Raso,3842,N,929,W,CRASO,38.7,-9.483333,38.7,-9.483333
Cabo S. Vicente,3701,N,859,W,SVICE,37.016667,-8.983333,37.016667,-8.983333
Cabrela,3855,N,827,W,CABRE,38.916667,-8.45,38.916667,-8.45
Cacela,3709,N,732,W,CACEL,37.15,-7.533333,37.15,-7.533333
Cachopo,3719,N,749,W,CHOPO,37.316667,-7.816667,37.316667,-7.816667
Cacia,4041,N,835,W,CACIA,40.683333,-8.583333,40.683333,-8.583333
Cadaval,3914,N,906,W,CADAV,39.233333,-9.1,39.233333,-9.1
Caldas Da Rainha,3924,N,908,W,CRAIN,39.4,-9.133333,39.4,-9.133333
Cambas,4000,N,750,W,CAMBA,40.0,-7.833333,40.0,-7.833333
Caminha,4152,N,850,W,CAMIN,41.866667,-8.833333,41.866667,-8.833333
Campea,4117,N,752,W,CMPEA,41.283333,-7.866667,41.283333,-7.866667
Campo Maior,3900,N,704,W,CMAOR,39.0,-7.066667,39.0,-7.066667
Canal Caveira,3808,N,829,W,CLAVE,38.133333,-8.483333,38.133333,-8.483333
Canas De Senhorim,4030,N,754,W,CANAS,40.5,-7.9,40.5,-7.9
Canha,3846,N,837,W,CANHA,38.766667,-8.616667,38.766667,-8.616667
Canhestros,3802,N,817,W,CANAS,38.033333,-8.283333,38.033333,-8.283333
Caniceira,3916,N,830,W,CANIC,39.266667,-8.5,39.266667,-8.5
Cantanhede,4020,N,835,W,CANTA,40.333333,-8.583333,40.333333,-8.583333
Caparica (Povoacao),3839,N,911,W,CPICA,38.65,-9.183333,38.65,-9.183333
Capinha,4012,N,722,W,CAPIN,40.2,-7.366667,40.2,-7.366667
Caramulo,4034,N,810,W,CRULO,40.566667,-8.166667,40.566667,-8.166667
Carcavelos,3841,N,920,W,CARCA,38.683333,-9.333333,38.683333,-9.333333
Caria,4055,N,735,W,CARIA,40.916667,-7.583333,40.916667,-7.583333
Carrapateira,3711,N,853,W,CARRP,37.183333,-8.883333,37.183333,-8.883333
Carrazeda De Ansiaes,4114,N,718,W,CZEDA,41.233333,-7.3,41.233333,-7.3
Carrazedo De Montenegro,4133,N,725,W,CMONT,41.55,-7.416667,41.55,-7.416667
Carregado,3901,N,858,W,CARRE,39.016667,-8.966667,39.016667,-8.966667
Carregosa,4053,N,824,W,CARGS,40.883333,-8.4,40.883333,-8.4
Carregueira (Chamusca),3925,N,824,W,CARRO,39.416667,-8.4,39.416667,-8.4
Cartaxo,3909,N,847,W,CTAXO,39.15,-8.783333,39.15,-8.783333
Carvalhal,3818,N,844,W,CRVAL,38.3,-8.733333,38.3,-8.733333
Carvalhos,4103,N,834,W,CARVL,41.05,-8.566667,41.05,-8.566667
Carvide,3951,N,853,W,CARVI,39.85,-8.883333,39.85,-8.883333
Carvoeiro,3705,N,828,W,CARVO,37.083333,-8.466667,37.083333,-8.466667
Casa Branca,3829,N,809,W,CASAB,38.483333,-8.15,38.483333,-8.15
Cascais (Voos Locais),3842,N,925,W,CCAIS,38.7,-9.416667,38.7,-9.416667
Cascais Ad,3843,N,921,W,CASC,38.716667,-9.35,38.716667,-9.35
Castanheira De Pera,4000,N,812,W,CPERA,40.0,-8.2,40.0,-8.2
Castelo Branco,3949,N,729,W,CASTB,39.816667,-7.483333,39.816667,-7.483333
Castelo De Paiva,4102,N,816,W,CPAIV,41.033333,-8.266667,41.033333,-8.266667
Castelo De Vide,3924,N,727,W,CVIDE,39.4,-7.45,39.4,-7.45
Castro D’Aire,4053,N,756,W,CAIRE,40.883333,-7.933333,40.883333,-7.933333
Castro Laboreiro,4201,N,809,W,CLABO,42.016667,-8.15,42.016667,-8.15
Castro Verde,3741,N,805,W,CVERD,37.683333,-8.083333,37.683333,-8.083333
Castro Vicente,4122,N,650,W,CVICE,41.366667,-6.833333,41.366667,-6.833333
Celeiro,4134,N,806,W,CLEIR,41.566667,-8.1,41.566667,-8.1
Celorico Da Beira,4038,N,723,W,CEBEI,40.633333,-7.383333,40.633333,-7.383333
Celorico De Basto,4123,N,800,W,CBAST,41.383333,-8.0,41.383333,-8.0
Cercal Do Alentejo,3748,N,840,W,CCALJ,37.8,-8.666667,37.8,-8.666667
Cernache,4008,N,828,W,CERNA,40.133333,-8.466667,40.133333,-8.466667
Cerva (Ribeira De Pena),4128,N,750,W,CERVA,41.466667,-7.833333,41.466667,-7.833333
Chamusca,3921,N,828,W,CHAMU,39.35,-8.466667,39.35,-8.466667
Chanca – Alter Do Chao,3914,N,749,W,CHANC,39.233333,-7.816667,39.233333,-7.816667
Chancelaria,3933,N,833,W,CCLAR,39.55,-8.55,39.55,-8.55
Chaves,4144,N,728,W,CHAVE,41.733333,-7.466667,41.733333,-7.466667
Cinfaes,4104,N,805,W,CINFA,41.066667,-8.083333,41.066667,-8.083333
Coimbra,4012,N,824,W,COIMB,40.2,-8.4,40.2,-8.4
Coina,3835,N,902,W,COINA,38.583333,-9.033333,38.583333,-9.033333
Colares,3848,N,926,W,COLAR,38.8,-9.433333,38.8,-9.433333
Comporta,3825,N,849,W,CPORT,38.416667,-8.816667,38.416667,-8.816667
Conceicao (Ourique),3746,N,814,W,CONCE,37.766667,-8.233333,37.766667,-8.233333
Condeixa-A-Nova,4006,N,829,W,CNOVA,40.1,-8.483333,40.1,-8.483333
Coruche,3857,N,831,W,CORUC,38.95,-8.516667,38.95,-8.516667
Couco,3959,N,817,W,COUCO,39.983333,-8.283333,39.983333,-8.283333
Cova Do Vapor,3839,N,915,W,CVAPO,38.65,-9.25,38.65,-9.25
Covilhã,4016,N,729,W,COVIL,40.266667,-7.483333,40.266667,-7.483333
Covoes,4025,N,836,W,COVOE,40.416667,-8.6,40.416667,-8.6
Crato,3917,N,738,W,CRATO,39.283333,-7.633333,39.283333,-7.633333
Cuba,3810,N,753,W,CUBA,38.166667,-7.883333,38.166667,-7.883333
Doca Do Poco Do Bispo,3844,N,906,W,DPBIS,38.733333,-9.1,38.733333,-9.1
Dois Portos,3902,N,910,W,DPORT,39.033333,-9.166667,39.033333,-9.166667
Elvas,3852,N,709,W,ELVAS,38.866667,-7.15,38.866667,-7.15
Entrocamento,3927,N,828,W,ENTRO,39.45,-8.466667,39.45,-8.466667
Ericeira,3857,N,925,W,ERICE,38.95,-9.416667,38.95,-9.416667
Ermesinde,4112,N,832,W,ERMES,41.2,-8.533333,41.2,-8.533333
Ermidas Do Sado,3800,N,824,W,ESADO,38.0,-8.4,38.0,-8.4
Ervedosa Do Douro,4109,N,728,W,EDOSA,41.15,-7.466667,41.15,-7.466667
Ervidel,3757,N,805,W,ERVID,37.95,-8.083333,37.95,-8.083333
Esmoriz,4057,N,837,W,ESMOR,40.95,-8.616667,40.95,-8.616667
Espichel (Cabo),3825,N,911,W,ESPIO,38.416667,-9.183333,38.416667,-9.183333
Espinho,4100,N,838,W,ESPIN,41.0,-8.633333,41.0,-8.633333
Esposende,4132,N,847,W,ESPOS,41.533333,-8.783333,41.533333,-8.783333
Estadio Nacional,3842,N,915,W,ENACI,38.7,-9.25,38.7,-9.25
Estarreja,4045,N,834,W,ESTAR,40.75,-8.566667,40.75,-8.566667
Estremoz,3850,N,735,W,ESTOZ,38.833333,-7.583333,38.833333,-7.583333
Evora,3834,N,754,W,EVORA,38.566667,-7.9,38.566667,-7.9
Fafe,4127,N,810,W,FAFE,41.45,-8.166667,41.45,-8.166667
Famalicao,4122,N,830,W,FAMAL,41.366667,-8.5,41.366667,-8.5
Faro,3701,N,755,W,FARO,37.016667,-7.916667,37.016667,-7.916667
Fatima,3937,N,840,W,FTIMA,39.616667,-8.666667,39.616667,-8.666667
Felgueiras,4121,N,811,W,FELGR,41.35,-8.183333,41.35,-8.183333
Fermentelos (Pateira),4034,N,831,W,FERNE,40.566667,-8.516667,40.566667,-8.516667
Ferragudo,3706,N,830,W,FGUDO,37.1,-8.5,37.1,-8.5
Ferreira Do Alentejo,3803,N,806,W,FERAL,38.05,-8.1,38.05,-8.1
Ferreira Do Zezere,3941,N,817,W,FEZEZ,39.683333,-8.283333,39.683333,-8.283333
Ferreiras,3707,N,814,W,FERRS,37.116667,-8.233333,37.116667,-8.233333
Figueira Da Foz,4008,N,852,W,FGFOZ,40.133333,-8.866667,40.133333,-8.866667
Figueira De Castelo Rodrigo,4053,N,657,W,FCRDG,40.883333,-6.95,40.883333,-6.95
Figueira De Cavaleiros Aerodromo,3804,N,814,W,FIGCA,38.066667,-8.233333,38.066667,-8.233333
Figueiro Dos Vinhos,3954,N,816,W,FVINH,39.9,-8.266667,39.9,-8.266667
Folgosa,4116,N,832,W,FOLGS,41.266667,-8.533333,41.266667,-8.533333
Fonte Da Telha,3834,N,911,W,FTELH,38.566667,-9.183333,38.566667,-9.183333
Fornos De Algodres,4037,N,732,W,FADRS,40.616667,-7.533333,40.616667,-7.533333
Foros De Amora,3837,N,907,W,FAMOR,38.616667,-9.116667,38.616667,-9.116667
Foros De Arrao,3910,N,814,W,FOROS,39.166667,-8.233333,39.166667,-8.233333
Foz Do Arelho,3925,N,914,W,FOZAR,39.416667,-9.233333,39.416667,-9.233333
Foz Do Douro,4108,N,840,W,FOURO,41.133333,-8.666667,41.133333,-8.666667
Freamunde,4117,N,820,W,FREAM,41.283333,-8.333333,41.283333,-8.333333
Freixeiro,4113,N,841,W,FREXI,41.216667,-8.683333,41.216667,-8.683333
Freixial (Alcacer Do Sal),3825,N,819,W,FXIAL,38.416667,-8.316667,38.416667,-8.316667
Freixianda,3945,N,827,W,FRXDA,39.75,-8.45,39.75,-8.45
Freixo De Espada A Cinta,4105,N,648,W,FREIX,41.083333,-6.8,41.083333,-6.8
Fronteira,3903,N,738,W,FRONT,39.05,-7.633333,39.05,-7.633333
Fundao,4008,N,730,W,FUNDA,40.133333,-7.5,40.133333,-7.5
Furadouro,4052,N,840,W,FURAD,40.866667,-8.666667,40.866667,-8.666667
Fuzeta,3703,N,744,W,FZETA,37.05,-7.733333,37.05,-7.733333
Gaia,4107,N,836,W,GAIA,41.116667,-8.6,41.116667,-8.6
Galveias,3909,N,759,W,GALVE,39.15,-7.983333,39.15,-7.983333
Gandara Dos Olivais,3946,N,849,W,GVAIS,39.766667,-8.816667,39.766667,-8.816667
Garvão,3742,N,820,W,GRVAO,37.7,-8.333333,37.7,-8.333333
Gois,4009,N,806,W,GOIS,40.15,-8.1,40.15,-8.1
Gondifelos,4125,N,835,W,GONDI,41.416667,-8.583333,41.416667,-8.583333
Gondomar,4108,N,832,W,GONDO,41.133333,-8.533333,41.133333,-8.533333
Gouveia,4029,N,735,W,GVEIA,40.483333,-7.583333,40.483333,-7.583333
Grandola,3810,N,834,W,GDOLA,38.166667,-8.566667,38.166667,-8.566667
Guarda,4032,N,716,W,GUARD,40.533333,-7.266667,40.533333,-7.266667
Guimaraes,4126,N,817,W,GUIMA,41.433333,-8.283333,41.433333,-8.283333
Guincho,3843,N,928,W,GUINC,38.716667,-9.466667,38.716667,-9.466667
Herdade Do Montinho,3818,N,812,W,HMONT,38.3,-8.2,38.3,-8.2
Hospital De Gaia – Serra Do Pilar,4107,N,836,W,HOGAI,41.116667,-8.6,41.116667,-8.6
Hospital S. Francisco Xavier – Lisboa,3842,N,913,W,HOSFX,38.7,-9.216667,38.7,-9.216667
Hospital Santa Maria – Lisboa,3844,N,909,W,HOSTM,38.733333,-9.15,38.733333,-9.15
Idanha-A-Nova,3955,N,714,W,INOVA,39.916667,-7.233333,39.916667,-7.233333
Igreja Das Galinheiras,3847,N,908,W,IGALI,38.783333,-9.133333,38.783333,-9.133333
Ilhavo,4035,N,839,W,ILHAV,40.583333,-8.65,40.583333,-8.65
Lagoa,3708,N,827,W,LAGOA,37.133333,-8.45,37.133333,-8.45
Lagoa De Albufeira,3830,N,910,W,LALBF,38.5,-9.166667,38.5,-9.166667
Lagoa De S. Andre,3806,N,847,W,LSTAN,38.1,-8.783333,38.1,-8.783333
Lagos,3705,N,840,W,LAGOS,37.083333,-8.666667,37.083333,-8.666667
Lamarosa (Coruche),3904,N,827,W,LROSA,39.066667,-8.45,39.066667,-8.45
Lamego,4106,N,748,W,LAMEG,41.1,-7.8,41.1,-7.8
Lavadores,4107,N,840,W,LAVAD,41.116667,-8.666667,41.116667,-8.666667
